name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
TIME_STAMP_s	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
TIME_STAMP_ms	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
OR_TIME_STAMP_s	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
OR_TIME_STAMP_ms	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
COUNTER	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
INTERPOLATED	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
Fp1	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
AF3	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
F5	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
F1	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
FC5	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CP3	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
P3	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
O1	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
O2	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
P4	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
CP4	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
FC6	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
F2	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
F6	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
AF4	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
Fp2	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
HighBitFlex	EEG	µV	0.0	64.0	ElectroEncephaloGram	128.0	good	n/a
